service_name_en,service_name_fr,external_internal,service_type,service_description_en,service_description_fr,authority_en,authority_fr,program_name_en,program_name_fr,client_target_groups,cra_business_number,e_registration,e_authentication,e_application,e_decision,e_issuance,e_feedback,owner_org,fiscal_yr,service_id_number,special_designations,service_url_en,service_url_fr,program_id_code,service_fee,use_of_sin,online_applications,web_visits_info_service,calls_received,in_person_applications,email_applications,fax_applications,postal_mail_applications,client_feedback,special_remarks_en,Org Name,Service_Unique_Identifier,New_Service_ID,Edited_Service_Name_EN,Edited_Service_Name_FR
Provincial Nominees,Candidats des provinces,EX,REG,PR for individuals who are nominated by a province or territory on the basis of their ability to become economically established in Canada in the province or territory of nomination except for the province of Quebec. This service includes granting permanent residence and issuance of PR card.,"Résidence permanente pour les personnes nommées par une province ou un territoire sur la base de leur capacité à s’établir économiquement au Canada, dans la province ou le territoire où elles ont été nommées, à l’exception de la province de Québec. Ce service comprend l’octroi de la résidence permanente et la délivrance d’une carte RP.","IRPA, IRPR",LIPR et RIPR,Provincial Economic Immigration,Immigration économique provinciale,PP,NA,Y,Y,Y,Y,NA,Y,cic,2017-2018,22,8,https://www.canada.ca/en/immigration-refugees-citizenship/services/immigrate-canada/provincial-nominees.html,https://www.canada.ca/fr/immigration-refugies-citoyennete/services/immigrer-canada/candidats-provinces.html,1.1.4,Y,N,7500,963237,0,0,0,0,21600,"ONL,TEL",,"Immigration, Refugees and Citizenship Canada | Immigration, Réfugiés et Citoyenneté Canada",2017-2018-cic-22,cic - 23,cic - Provincial Nominees,
Family Class Priority (FCP),Demandes prioritaires de la catégorie du regroupement familial,EX,REG,"Sponsorship for PR for a spouse, common-law partner, conjugal partner and dependent children (including adopted children) of Canadians or permanent residents. This service includes granting permanent residence and issuance of PR card.","Parrainage d’un époux, d’un conjoint de fait, d’un partenaire conjugal et d’enfants à charge (y compris les enfants adoptés) par un Canadien ou un résident permanent afin qu’ils obtiennent la résidence permanente. Ce service comprend l’octroi de la résidence permanente et la délivrance d’une carte RP.","IRPA, IRPR",LIPR et RIPR,Family Reunification,Regroupement familial,PP,NA,Y,Y,N,Y,NA,Y,cic,2017-2018,23,1,https://www.canada.ca/en/immigration-refugees-citizenship/services/immigrate-canada/family-sponsorship/spouse-partner-children.html,https://www.canada.ca/fr/immigration-refugies-citoyennete/services/immigrer-canada/parrainer-membre-famille/epoux-partenaire-enfant.html,2.1.1,Y,N,0,1039605,0,0,0,0,59873,"ONL,TEL",,"Immigration, Refugees and Citizenship Canada | Immigration, Réfugiés et Citoyenneté Canada",2017-2018-cic-23,cic - 24,cic - Family Class Priority (FCP),
Parents and Grandparents (FC4),Parents et grands-parents (CF4),EX,REG,Sponsorship for PR for Parents and Grandparents of Canadians or permanent residents. This service includes granting permanent residence and issuance of PR card.,Parrainage d’un parent ou d’un grand-parent par un Canadien ou un résident permanent afin qu’il obtienne la résidence permanente. Ce service comprend l’octroi de la résidence permanente et la délivrance d’une carte RP.,"IRPA, IRPR",LIPR et RIPR,Family Reunification,Regroupement familial,PP,NA,Y,Y,N,Y,NA,Y,cic,2017-2018,24,8,https://www.canada.ca/en/immigration-refugees-citizenship/services/immigrate-canada/family-sponsorship/sponsor-parents-grandparents.html,https://www.canada.ca/fr/immigration-refugies-citoyennete/services/immigrer-canada/parrainer-membre-famille/parrainer-parents-grands-parents.html,2.1.2,Y,N,0,989535,0,0,0,0,9305,"ONL,TEL",,"Immigration, Refugees and Citizenship Canada | Immigration, Réfugiés et Citoyenneté Canada",2017-2018-cic-24,cic - 25,cic - Parents and Grandparents (FC4),
Other Relatives,Autres membres de la famille,EX,REG,Sponsorship for PR for orphaned relatives under 18; or for one other qualified relative of a Canadian citizen or permanent resident. This service includes granting permanent residence and issuance of PR card.,Parrainage d’un citoyen canadien ou d’un résident permanent en vue qu’un membre orphelin de sa famille âgé de moins de 18 ans ou un autre membre de sa famille qui se qualifie obtienne la résidence permanente. Ce service comprend l’octroi de la résidence permanente et la délivrance d’une carte RP.,"IRPA, IRPR",LIPR et RIPR,Family Reunification,Regroupement familial,PP,NA,Y,Y,N,Y,NA,Y,cic,2017-2018,25,8,https://www.canada.ca/en/immigration-refugees-citizenship/services/immigrate-canada/family-sponsorship/other-relatives.html,https://www.canada.ca/fr/immigration-refugies-citoyennete/services/immigrer-canada/parrainer-membre-famille/autres-membres-famille.html,2.1,Y,N,0,297330,0,0,0,0,735,"ONL,TEL","Feedback under 'spouse, partner, children and other'","Immigration, Refugees and Citizenship Canada | Immigration, Réfugiés et Citoyenneté Canada",2017-2018-cic-25,cic - 26,cic - Other Relatives,
Spouse or common-law partner in Canada class,Catégorie des époux ou conjoints de fait au Canada,EX,REG,Sponsorship for PR for a spouse or common-law partner residing in Canada of a Canadian citizen or permanent resident including those who have fallen out of status In Canada. This service includes granting permanent residence and issuance of PR card.,"Parrainage d’un époux ou d’un conjoint de fait résidant au Canada, y compris ceux dont le statut au Canada a expiré, par un citoyen canadien ou un résident permanent, afin qu’ils obtiennent la résidence permanente. Ce service comprend l’octroi de la résidence permanente et la délivrance d’une carte RP.","IRPA, IRPR",LIPR et RIPR,Family Reunification,Regroupement familial,PP,NA,Y,Y,N,Y,NA,Y,cic,2017-2018,26,8,https://www.canada.ca/en/immigration-refugees-citizenship/services/immigrate-canada/family-sponsorship/spouse-partner-children.html,https://www.canada.ca/fr/immigration-refugies-citoyennete/services/immigrer-canada/parrainer-membre-famille/epoux-partenaire-enfant.html,2.1.1,Y,N,0,1039605,0,0,0,0,55266,"ONL,TEL","Feedback under 'spouse, partner, children and other'","Immigration, Refugees and Citizenship Canada | Immigration, Réfugiés et Citoyenneté Canada",2017-2018-cic-26,cic - 27,cic - Spouse or common-law partner in Canada class,
TRP Holder,Titulaire d’un PRT,EX,REG,PR application class for TRP holders who meet eligibility criteria related to the period for which they have lived in Canada with a TRP. This service includes granting permanent residence and issuance of PR card.,Classe de demandes pour obtenir la résidence permanente pour un titulaire d’un PRT qui répond aux exigences d’admissibilité liées à la période pendant laquelle il a habité au Canada grâce à un VRT. Ce service comprend l’octroi de la résidence permanente et la délivrance d’une carte RP.,"IRPA, IRPR",LIPR et RIPR,Humanitarian / Compassionate and Discretionary Immigration,Immigration pour considérations d’ordre humanitaire et discrétionnaire,PP,NA,Y,Y,N,Y,NA,Y,cic,2017-2018,27,8,NA,NA,2.1.3,Y,N,0,0,0,0,0,0,55,"ONL,TEL",,"Immigration, Refugees and Citizenship Canada | Immigration, Réfugiés et Citoyenneté Canada",2017-2018-cic-27,cic - 28,cic - TRP Holder,
Humanitarian & Compassionate,Motifs d’ordre humanitaire,EX,REG,PR for an individual granted based on humanitarian and compassionate consideration. This service includes actual landing in Canada and issuance of PR card.,Résidence permanente pour une personne autorisée sur la base de motifs d’ordre humanitaire. Ce service comprend l’établissement réel au Canada et la délivrance d’une carte RP.,"IRPA, IRPR",LIPR et RIPR,Humanitarian / Compassionate and Discretionary Immigration,Immigration pour considérations d’ordre humanitaire et discrétionnaire,PP,NA,Y,Y,N,Y,NA,Y,cic,2017-2018,28,8,https://www.canada.ca/en/immigration-refugees-citizenship/services/refugees/claim-protection-inside-canada/after-apply-next-steps/refusal-options/humanitarian-compassionate-grounds.html,https://www.canada.ca/fr/immigration-refugies-citoyennete/services/refugies/presenter-demande-asile-canada/apres-avoir-presenter-demande-etapes-suivantes/recours-rejetee/considerations-ordre-humanitaire.html,2.1.3,Y,N,0,82827,0,0,0,0,4388,"ONL,TEL",,"Immigration, Refugees and Citizenship Canada | Immigration, Réfugiés et Citoyenneté Canada",2017-2018-cic-28,cic - 29,cic - Humanitarian & Compassionate,
Resettled Refugees,Réfugiés réinstallés,EX,REG,"Resettlement of refugees identified through the UNHCR or other referral agencies, private individuals/ organizations or groups of individuals and supported/sponsored  by one of the following: the government of Canada or Quebec, private individuals/ organizations, groups of individuals, or Sponsorship Agreement Holders (SAHs).","Réinstallation de réfugiés déterminés par le HCR ou par une autre organisation de recommandation, par un particulier ou une organisation privée ou un groupe de personnes, et soutenus ou parrainés par un des intervenants suivants : le gouvernement du Canada ou du Québec, un particulier ou une organisation privée, un groupe de personnes ou un signataire d’entente de parrainage.","IRPA, IRPR",LIPR et RIPR,Resettled Refugees,Réinstallation des réfugiés,PP,NA,Y,N,Y,Y,NA,Y,cic,2017-2018,29,1,https://www.canada.ca/en/immigration-refugees-citizenship/services/refugees/help-outside-canada/private-sponsorship-program.html,https://www.canada.ca/fr/immigration-refugies-citoyennete/services/refugies/aide-exterieur-canada/programme-parrainage-prive.html,2.2.1-4,N,N,0,127149,0,0,0,0,14958,"ONL,TEL",Feedback via webform only,"Immigration, Refugees and Citizenship Canada | Immigration, Réfugiés et Citoyenneté Canada",2017-2018-cic-29,cic - 30,cic - Resettled Refugees,
Humanitarian Public Policy,Politique d’intérêt public humanitaire,EX,REG,Priority processing of resettlement applications for persons who meet the definition of Convention Refugee or are in refugee-like situations.,Traitement prioritaire des demandes de réinstallation pour les personnes qui répondent à la définition d’un réfugié au sens de la Convention ou qui se trouvent dans des situations semblables à celle d’un réfugié.,"IRPA, IRPR",LIPR et RIPR,Humanitarian / Compassionate and Discretionary Immigration,Immigration pour considérations d’ordre humanitaire et discrétionnaire,PP,NA,Y,N,N,Y,NA,Y,cic,2017-2018,30,8,https://www.canada.ca/en/immigration-refugees-citizenship/services/refugees/help-outside-canada.html,https://www.canada.ca/fr/immigration-refugies-citoyennete/services/refugies/aide-exterieur-canada.html,2.1.3,N,N,0,206415,0,0,0,0,4473,"ONL,TEL",Feedback via webform only.  H&C and PP for this metric,"Immigration, Refugees and Citizenship Canada | Immigration, Réfugiés et Citoyenneté Canada",2017-2018-cic-30,cic - 31,cic - Humanitarian Public Policy,
Protected Person & Dependants (APR),Personne protégée et personnes à charge (demande de résidence permanente),EX,REG,PR status granted to protected persons in-Canada and to their dependants both in Canada and overseas provided that they meet the definition of “family member” in IRPR1(3).,Statut de résidence permanente délivré aux personnes protégées qui se trouvent au Canada et à leurs personnes à charge qui se trouvent au Canada et à l’étranger.,"IRPA, IRPR",LIPR et RIPR,Humanitarian / Compassionate and Discretionary Immigration,Immigration pour considérations d’ordre humanitaire et discrétionnaire,PP,NA,N,N,N,Y,NA,Y,cic,2017-2018,33,8,https://www.canada.ca/en/immigration-refugees-citizenship/corporate/publications-manuals/operational-bulletins-manuals/permanent-residence/protected-persons/stage-1-eligibility.html,https://www.canada.ca/fr/immigration-refugies-citoyennete/organisation/publications-guides/bulletins-guides-operationnels/resdience-permanente/personnes-protegees/etape-1-recevabilite.html,2.2.4,Y,N,0,0,0,0,0,0,15284,"ONL,TEL",NA,"Immigration, Refugees and Citizenship Canada | Immigration, Réfugiés et Citoyenneté Canada",2017-2018-cic-33,cic - 32,cic - Protected Person & Dependants (APR),
In-Canada Asylum,Octroi de l’asile au Canada,EX,REG,IRCC receives in-Canada applications for refugee protection (refugee claims). Eligible claims are referred to the Immigration and Refugee Board for a hearing and decision.,IRCC reçoit des demandes d’asile présentées au Canada. Les demandes d’asile recevables sont renvoyées à la Commission de l’immigration et du statut de réfugié du Canada pour que soit menée une audience et pour qu’une décision soit prise.,"IRPA, IRPR",LIPR et RIPR,Asylum,Asile,PP,NA,N,N,N,N,NA,Y,cic,2017-2018,34,8,https://www.canada.ca/en/immigration-refugees-citizenship/services/refugees.html,https://www.canada.ca/fr/immigration-refugies-citoyennete/services/refugies.html,2.2.4,N,N,0,0,0,0,0,0,350,"ONL,TEL",NA,"Immigration, Refugees and Citizenship Canada | Immigration, Réfugiés et Citoyenneté Canada",2017-2018-cic-34,cic - 33,cic - In-Canada Asylum,
Immigration Loan,Prêts aux immigrants,EX,RES,"This statutory program ensures that some persons, otherwise unable to pay for the costs of transportation to Canada, have access to a funding source. The main target group for the program are resettled refugees but loans may also be approved for foreign nationals to defray the Right of Permanent Residence Fee and to newcomers in need to cover initial settlement expenses.  The loans are repayable in full and payment plans vary by the value of the loan.  Deferrals and extensions are available in some instances.","Ce programme réglementaire permet à certaines personnes, qui seraient autrement incapables d’assumer les coûts liés au transport vers le Canada, d’avoir accès à une source de financement. Les réfugiés réinstallés constituent le principal groupe cible du programme, mais des prêts peuvent aussi être autorisés à des étrangers afin qu’ils puissent acquitter les frais relatifs au droit de résidence permanente, ainsi qu’aux nouveaux arrivants, pour qu’ils puissent s’acquitter de leurs dépenses d’établissement initiales.  Les prêts sont remboursables au complet, et les plans de paiement varient selon la valeur du prêt.  Des reports et des prolongations sont possibles dans certains cas.","IRPA, IRPR",LIPR et RIPR,Resettled Refugees,Réinstallation des réfugiés,PP,NA,N,N,N,N,N,Y,cic,2017-2018,31,8,NA,NA,3.1.3,N,N,0,0,0,0,0,0,0,"ONL,TEL",Feedback via webform only,"Immigration, Refugees and Citizenship Canada | Immigration, Réfugiés et Citoyenneté Canada",2017-2018-cic-31,cic - 34,cic - Immigration Loan,
One-year window,Délai prescrit d’un an,EX,REG,"Refugees with PR status who have dependants whose whereabouts were unknown at the time of landing may submit a OYW application for their dependants, if located, within one year of the date of landing of the refugee in Canada.","Le réfugié qui a un statut de RP et qui a des personnes à charge dont les allées et venues étaient inconnues au moment de son établissement peut présenter une demande de délai prescrit d’un an pour ces personnes, si leur emplacement est connu, dans l’année qui suit la date de son établissement au Canada.","IRPA, IRPR",LIPR et RIPR,Resettled Refugees,Réinstallation des réfugiés,PP,NA,N,N,Y,Y,NA,Y,cic,2017-2018,32,8,https://www.canada.ca/en/immigration-refugees-citizenship/services/application/application-forms-guides/request-process-family-members-under-year-window-opportunity-provisions.html,https://www.canada.ca/fr/immigration-refugies-citoyennete/services/demande/formulaires-demande-guides/demande-traitement-visant-membres-famille-delai-prescrit-un-an.html,2.2,N,N,0,5417,0,0,0,0,0,"ONL,TEL",Feedback via webform only,"Immigration, Refugees and Citizenship Canada | Immigration, Réfugiés et Citoyenneté Canada",2017-2018-cic-32,cic - 35,cic - One-year window,
Pre-removal Risk Assessment,Examen des risques avant renvoi,EX,REG,Make an assessment that persons being removed from Canada in accordance with IRPA and its Regulations are not sent to a country where they would be in danger or at risk of persecution.,Effectuer une évaluation pour éviter que les personnes renvoyées du Canada en vertu de la LIPR et de son règlement ne soient pas renvoyées dans un pays où elles seraient en danger ou risqueraient d’être persécutées.,"IRPA, IRPR",LIPR et RIPR,NA,NA,PP,NA,N,N,N,N,NA,Y,cic,2017-2018,38,8,NA,NA,2.2.5,N,N,0,0,0,0,0,0,0,"ONL,TEL",,"Immigration, Refugees and Citizenship Canada | Immigration, Réfugiés et Citoyenneté Canada",2017-2018-cic-38,cic - 36,cic - Pre-removal Risk Assessment,
The Issuance of Danger Opinion,Émission d’un avis de danger,EX,REG,"Protect the health and safety of Canadians, maintain the security of Canadian society, and promote international justice and security by denying access to Canadian territory to persons, including refugees, who was security risks or serious criminals (IRPA paragraph 115(2)(b)).","Protéger la santé et la sécurité des Canadiens, maintenir la sécurité de la société canadienne et promouvoir la justice et la sécurité à l’échelle internationale en refusant l’entrée au Canada à des personnes, y compris des réfugiés, pour des raisons de sécurité ou de grande criminalité (alinéa 115 (2)b) de la LIPR)","IRPA, IRPR",LIPR et RIPR,NA,NA,IG,NA,N,N,N,N,N,Y,cic,2017-2018,35,2,https://www.canada.ca/en/immigration-refugees-citizenship/services/immigrate-canada/inadmissibility.html,https://www.canada.ca/fr/immigration-refugies-citoyennete/services/immigrer-canada/interdiction-territoire.html,4.2,N,N,0,340224,0,0,0,0,0,"ONL,TEL",There is no feedback mechanism for the IRCC portion of the danger opinion issuance.  The danger opinion is only a part of the danger process which is initiated and finalized by CBSA.,"Immigration, Refugees and Citizenship Canada | Immigration, Réfugiés et Citoyenneté Canada",2017-2018-cic-35,cic - 37,cic - The Issuance of Danger Opinion,
Settlement Transfer Payments,"Paiements de transfert, Programme d’établissement",EX,REG,"IRCC provides funds to organizations in support of the delivery of the Settlement programs in all Provinces and Territories except Québec.  Contribution agreements are the main mechanism for funding the delivery of services to newcomers. Services include language training, community and employment bridging, settlement information, and support services that facilitate access to settlement programming.","IRCC fournit des fonds à des organisations qui soutiennent la prestation de programmes d’établissement dans toutes les provinces et territoires, sauf le Québec.  Les ententes de contribution représentent le principal mécanisme pour le financement de la prestation des services destinés aux nouveaux arrivants. La formation linguistique, l’intégration communautaire et de transition à l’emploi, la fourniture de renseignements relatifs à l’établissement et les services de soutien facilitant l’accès aux programmes d’établissement en sont des exemples.",Program Ts&Cs,Modalités du programme,Settlement,Établissement,IO,Y,Y,Y,Y,Y,Y,Y,cic,2017-2018,36,8,https://www.canada.ca/en/immigration-refugees-citizenship/corporate/partners-service-providers/funding.html,https://www.canada.ca/fr/immigration-refugies-citoyennete/organisation/partenaires-fournisseurs-services/financement.html,"3.1
3.1.1 (3.1.1.1 and 3.1.1.2)",N,N,161,13110,0,0,0,0,0,"ONL,TEL","Feedback can be provided via the public-facing CFP mailbox.                                  161 applications under the Settlement and Resettlement Programs (140 SDI phase II and 21 unsolicited proposals, which includes Settlement and Resettlement) for the 17-18 fiscal year, which was a year in which we did not do a large scale CFP.","Immigration, Refugees and Citizenship Canada | Immigration, Réfugiés et Citoyenneté Canada",2017-2018-cic-36,cic - 38,cic - Settlement Transfer Payments,
Federal Internship for Newcomers (FIN) Program,Programme fédéral de stage pour les nouveaux arrivants (PFSNA),EX,HR,"The FIN Program provides internationally trained professionals and former student refugees with relevant work experience by matching their skills with employers in federal, provincial, and municipal organizations. Interns are supported with training and mentorship opportunities. Hiring managers, too, receive cross-cultural support.","Le PFSNA fournit aux professionnels formés à l’étranger et aux anciens étudiants réfugiés une expérience de travail pertinente en jumelant leurs compétences aux besoins d’employeurs d’organisations fédérales, provinciales et municipales. Les stagiaires sont soutenus par des possibilités de formation et de mentorat. L’embauche de cadres reçoit aussi un soutien interculturel.","IRPA, IRPR",LIPR et RIPR,NA,NA,"IG,PP",NA,Y,Y,Y,Y,Y,Y,cic,2017-2018,37,8,https://www.canada.ca/en/immigration-refugees-citizenship/services/new-immigrants/prepare-life-canada/prepare-work/federal-internship.html,https://www.canada.ca/fr/immigration-refugies-citoyennete/services/nouveaux-immigrants/preparer-vie-canada/prepare-travailler/federal-stage.html,3.1.1.2,N,N,1375,64125,0,0,0,0,0,"ONL,TEL",Feedback can be provided via the public-facing CFP mailbox.,"Immigration, Refugees and Citizenship Canada | Immigration, Réfugiés et Citoyenneté Canada",2017-2018-cic-37,cic - 39,cic - Federal Internship for Newcomers (FIN) Program,
PR Card Renewals & Replacements,Renouvellement et remplacement de carte RP,EX,REG,Issuance of PR cards to those who have an expired PR card or who require a replacement PR card.,"Délivrance de cartes RP aux résidents permanents lorsque la validité de la carte a expiré, ou en cas de remplacement.","IRPA, IRPR",LIPR et RIPR,NA,NA,PP,NA,NA,NA,N,NA,NA,Y,cic,2017-2018,39,8,https://www.canada.ca/en/immigration-refugees-citizenship/services/new-immigrants/pr-card/apply-renew-replace.html,https://www.canada.ca/fr/immigration-refugies-citoyennete/services/nouveaux-immigrants/carte-rp/demande-renouvellement-remplacement.html,4.2.2,Y,N,0,1346973,0,0,0,0,518649,"ONL,TEL",,"Immigration, Refugees and Citizenship Canada | Immigration, Réfugiés et Citoyenneté Canada",2017-2018-cic-39,cic - 40,cic - PR Card Renewals & Replacements,
Permanent Resident Travel Document,Titre de voyage de résident permanent,EX,REG,"Issuance of Permanent Resident Travel Document to persons abroad whose PR card has expired, are not in possession of a PR card or have  a lost/stolen PR card.","Délivrance d’un titre de voyage de résident permanent à des personnes à l’étranger dont la carte RP a expiré, ou qui ne sont pas en possession d’une carte RP, ou dont la carte RP a été perdue ou volée.","IRPA, IRPR",LIPR et RIPR,NA,NA,PP,NA,N,N,N,N,NA,Y,cic,2017-2018,40,8,https://www.canada.ca/en/immigration-refugees-citizenship/services/new-immigrants/pr-travel-document.html,https://www.canada.ca/fr/immigration-refugies-citoyennete/services/nouveaux-immigrants/titre-voyage-rp.html,4.2.1,Y,N,0,713517,0,0,0,0,21871,"ONL,TEL",Feedback can be provided via the public-facing CFP mailbox.,"Immigration, Refugees and Citizenship Canada | Immigration, Réfugiés et Citoyenneté Canada",2017-2018-cic-40,cic - 41,cic - Permanent Resident Travel Document,
Resettlement Assistance (RAP) Transfer Payments: Contributions,Paiements de transfert pour de l’aide au réétablissement : Contributions,EX,RES,"Provides funds for immediate and essential RAP services through contributions to service provider organizations in all provinces in Canada except Quebec (including pre-arrival services, port of entry services, temporary accommodation and assistance with locating permanent accommodations, life skills and orientation training, needs assessments and referrals, and links to settlement and broader-based community programming).","Fournit des fonds pour des services immédiats et essentiels offerts dans le cadre du PAR au moyen de contributions à des fournisseurs de services dans toutes les provinces du Canada, à l’exception du Québec (y compris les services avant l'arrivée, les services aux points d’entrée, services au points d'entrée,hébergement temporaire et aide à la recherche d'hébergement permanent, formation relative aux aptitudes de vie, orientation, besoins et aiguillage, et des liens vers des programmes d’établissement et des services dans la communauté).",Program Ts&Cs,Modalités du programme,Refugee Resettlement,Réétablissement des réfugiés,IO,Y,Y,Y,Y,Y,Y,Y,cic,2017-2018,41,8,NA,NA,3.1.4,N,N,0,0,0,0,0,0,0,"ONL,TEL",Settlement Client Outcome Survey. Feedback can be provided via the public-facing CFP mailbox.,"Immigration, Refugees and Citizenship Canada | Immigration, Réfugiés et Citoyenneté Canada",2017-2018-cic-41,cic - 42,cic - Resettlement Assistance (RAP) Transfer Payments: Contributions,
Resettlement Assistance (RAP) Transfer Payments: Income Support,Paiements de transfert pour de l’aide au réétablissement : Soutien du revenu,EX,RES,"Direct financial support to RAP clients including government-assisted refugees, privately sponsored refugees in blended initiatives and persons in refugee-like situations admitted to Canada.","Soutien financier direct à des clients du PAR, notamment des réfugiés parrainés par le gouvernement et par le secteur privé, dans le cadre d’initiatives mixtes et les personnes se trouvant dans une situation semblable à celle des réfugiés qui sont admises au Canada.",Program Ts&Cs,Modalités du programme,Refugee Resettlement,Réétablissement des réfugiés,PP,NA,NA,NA,NA,NA,Y,Y,cic,2017-2018,42,8,https://www.canada.ca/en/immigration-refugees-citizenship/services/refugees/help-within-canada/government-assisted-refugee-program/providers.html,https://www.canada.ca/fr/immigration-refugies-citoyennete/services/refugies/aide-partir-canada/programme-refugies-pris-charge-gouvernement/fournisseurs.html,3.1.4,N,N,0,10974,0,0,0,0,0,"ONL,TEL",Settlement Client Outcome Survey. Feedback can be provided via the public-facing CFP mailbox.,"Immigration, Refugees and Citizenship Canada | Immigration, Réfugiés et Citoyenneté Canada",2017-2018-cic-42,cic - 43,cic - Resettlement Assistance (RAP) Transfer Payments: Income Support,
Reimbursement Interim Federal Health (IFH),Remboursement dans le cadre du programme fédéral de santé intérimaire (PFSI),EX,RES,Health Care Professionals are reimbursed for providing eligible services to clients.,Les professionnels de la santé sont remboursés pour les services admissibles rendus aux clients.,Interim Federal Health Program Policy,Politique sur le Programme fédéral de santé intérimaire,Refugee Resettlement,Réétablissement des réfugiés,ES,N,NA,NA,NA,NA,Y,Y,cic,2017-2018,43,8,NA,NA,4.1.3,N,N,0,0,0,0,0,0,0,"ONL,TEL",,"Immigration, Refugees and Citizenship Canada | Immigration, Réfugiés et Citoyenneté Canada",2017-2018-cic-43,cic - 44,cic - Reimbursement Interim Federal Health (IFH),
Eligibility Certificate for IFH,Certificat d’admissibilité au PFSI,EX,REG,"Issuance of IFHP Eligibility Certificate.  Refugee claimants are eligible for IFHP coverage until they no longer meet program eligibility criteria, become eligible for provincial or territorial health coverage or are removed from Canada.","Délivrance de certificats d’admissibilité au PFSI.  Les demandeurs d’asile sont couverts jusqu’à ce qu’ils ne répondent plus aux critères d’admissibilité du programme, lorsqu’ils deviennent admissibles à un régime d’assurance maladie provincial ou territorial ou lorsqu’ils sont renvoyés du Canada.",Interim Federal Health Program Policy,Politique sur le Programme fédéral de santé intérimaire,Refugee Resettlement,Réétablissement des réfugiés,PP,NA,NA,NA,NA,NA,NA,Y,cic,2017-2018,44,8,https://www.canada.ca/en/immigration-refugees-citizenship/services/refugees/help-within-canada/health-care.html,https://www.canada.ca/fr/immigration-refugies-citoyennete/services/refugies/aide-partir-canada/soins-sante.html,4.1.3,N,N,0,34101,0,0,0,0,0,"ONL,TEL",,"Immigration, Refugees and Citizenship Canada | Immigration, Réfugiés et Citoyenneté Canada",2017-2018-cic-44,cic - 45,cic - Eligibility Certificate for IFH,
Medical Surveillance Notification,Notification de la surveillance médicale,EX,REG,Migrants who pose Public Health Risks are referred to PTs for medical surveillance.,Les migrants qui posent un risque pour la santé publique sont renvoyés aux provinces et territoires à des fins de surveillance médicale.,"IRPA, IRPR",LIPR et RIPR,NA,NA,PTC,NA,NA,NA,NA,NA,Y,Y,cic,2017-2018,45,2,NA,NA,4.1.2,N,N,0,0,0,0,0,0,0,"ONL,TEL",,"Immigration, Refugees and Citizenship Canada | Immigration, Réfugiés et Citoyenneté Canada",2017-2018-cic-45,cic - 46,cic - Medical Surveillance Notification,
"Grant 5(1), 5(2), 5(4)","Attribution de citoyenneté 5 (1), 5 (2) et 5 (4)",EX,REG,Granting of citizenship to  adults and/or minor applicants who have either met all the requirements to become naturalized citizens or have been granted per the discretion of the IRCC Minister.,Octroi de la citoyenneté aux demandeurs adultes et mineurs qui ont satisfait à toutes les exigences pour devenir des citoyens naturalisés ou à qui le ministre d’IRCC l’a octroyée.,"CA, Citizenship Regulations, and Citizenship Regulations No. 2","Loi sur la citoyenneté, Règlement sur la citoyenneté et Règlement n° 2 sur la citoyenneté",Citizenship,Citoyenneté,PP,NA,N,N,N,Y,NA,Y,cic,2017-2018,46,1,https://www.canada.ca/en/immigration-refugees-citizenship/services/canadian-citizenship/become-canadian-citizen/apply.html,https://www.canada.ca/fr/immigration-refugies-citoyennete/services/citoyennete-canadienne/devenir-citoyen-canadien/presenter-demande.html,3.2.2,Y,N,0,13777600,0,0,0,0,252356,"ONL,TEL",,"Immigration, Refugees and Citizenship Canada | Immigration, Réfugiés et Citoyenneté Canada",2017-2018-cic-46,cic - 47,"cic - Grant 5(1), 5(2), 5(4)",
Stateless grant 5(5),Attribution de citoyenneté aux personnes apatrides 5(5),EX,REG,Granting of citizenship to an individual who is and always was stateless and was born outside Canada to a Canadian parent.,Attribution de la citoyenneté à une personne qui est et a toujours été apatride et qui est née à l’extérieur du Canada d’un parent canadien.,"CA, Citizenship Regulations, and Citizenship Regulations No. 2","Loi sur la citoyenneté, Règlement sur la citoyenneté et Règlement n° 2 sur la citoyenneté",Citizenship,Citoyenneté,PP,NA,N,N,N,Y,NA,Y,cic,2017-2018,47,8,https://www.canada.ca/en/immigration-refugees-citizenship/services/application/application-forms-guides/applications-grant-citizenship-stateless-persons-born-canadian-parent-subsection-5-5.html,https://www.canada.ca/fr/immigration-refugies-citoyennete/services/demande/formulaires-demande-guides/demande-citoyennete-canadienne-personnes-apatrides-nees-parent-canadien-paragraphe-5-5.html,3.2.2,Y,N,0,9126,0,0,0,0,0,"ONL,TEL",,"Immigration, Refugees and Citizenship Canada | Immigration, Réfugiés et Citoyenneté Canada",2017-2018-cic-47,cic - 48,cic - Stateless grant 5(5),
